Country,CountryCode,Area (km2),Economic Status (World Bank),World Region,EnergyUse_2004 (kg oil equiv per capita),Year,Population,Births,Deaths,GDP ($US),MilitaryExpenditure_2005 (%GDP),Life Expectancy (male),Life Expectancy (female),Infant Deaths (male),Infant Deaths (female)
Ukraine,UKR,603700,Lower middle income,Europe and Central Asia,2958.052911,2003,47667080,408507,765533,50132955136,2.355862001,61.8,73.7,2388,1652
United Arab Emirates,ARE,83600,High income: nonOECD,Middle East and North Africa,10141.89815,2003,3731700,61163,8471,88156028928,1.92702949,72.3,77.4,565,378
United Kingdom,GBR,241590,High income: OECD,Europe and Central Asia,3905.602639,2003,60094648,660440,613566,1.81E+12,2.592997526,75.7,80.7,1995,1492
United States,USA,9161923,High income: OECD,North America,7920.46381,2003,290342554,4105444,2450491,1.09E+13,4.083991401,74.4,80,15659,12053
Uruguay,URY,173620,Upper middle income,Latin America and Caribbean,867.1206506,2003,3387337,52199,31672,11190672384,1.384048371,71.8,78.4,403,305
Uzbekistan,UZB,425400,Low income,Europe and Central Asia,2087.580969,2003,25981647,677861,207074,10134453248,,60.5,67.6,26123,22351
Vanuatu,VUT,12200,Lower middle income,East Asia and Pacific,,2003,199414,4838,1621,279893792,,60.3,63.2,150,131
Venezuela,VEN,882050,Upper middle income,Latin America and Caribbean,2149.423968,2003,24545434,558163,123709,83529048064,1.107245447,69.6,75.8,8096,5635
Vietnam,VNM,325360,Low income,East Asia and Pacific,612.1779751,2003,81790803,1415799,507921,39552512000,,67.4,73.1,20587,18532
Virgin Islands (U.S.),VIR,346,High income: nonOECD,Latin America and Caribbean,,2003,108814,1608,646, ,,74.7,82.7,8,6
Yemen,YEM,527970,Low income,Middle East and North Africa,313.3400107,2003,19367311,836668,174693,11006776320,5.042132976,59.2,62.9,29823,24234
Zambia,ZMB,740724,Low income,Sub-Saharan Africa,604.8496344,2003,10799937,453165,252611,4326579712,,36.5,36.4,23821,21600
Zimbabwe,ZWE,386670,Low income,Sub-Saharan Africa,718.9848407,2003,12004576,342851,263260,7397223936,,40,38.1,9819,8596
Afghanistan,AFG,647500,Low income,South Asia,,2004,28513677,1347842,602209,5951966720,,42.3,42.7,118087,105601
Albania,ALB,27398,Lower middle income,Europe and Central Asia,760.0298227,2004,3544808,53456,17795,7380220928,1.4132621,74.4,80,645,548
Algeria,DZA,2381740,Lower middle income,Middle East and North Africa,1016.609065,2004,32129324,570617,148116,85013946368,2.815593944,71.2,74.3,10551,7800
American Samoa,ASM,199,Upper middle income,East Asia and Pacific,,2004,57902,1416,196, ,,72,79.4,7,6
Andorra,ADO,468,High income: nonOECD,Europe and Central Asia,,2004,69865,651,412, ,,80.6,86.6,2,1
Angola,AGO,1246700,Lower middle income,Sub-Saharan Africa,612.5222716,2004,11391126,522283,296169,19775219712,5.042401356,36,37.5,54056,45606
Antigua and Barbuda,ATG,443,High income: nonOECD,Latin America and Caribbean,,2004,68320,1209,379,818459264,,69.3,74.1,15,9
Argentina,ARG,2736690,Upper middle income,Latin America and Caribbean,1660.476009,2004,39144753,672898,296326,1.53E+11,0.969284549,72,79.7,6071,4467
Armenia,ARM,28400,Lower middle income,Europe and Central Asia,703.5483755,2004,2991360,34191,24290,3576615168,2.718621804,67.7,75.4,543,283
Aruba,ABW,193,High income: nonOECD,Latin America and Caribbean,,2004,95461,1232,720, ,,71.1,77.2,13,7
Australia,AUS,7617930,High income: OECD,East Asia and Pacific,5762.29345,2004,19913144,246923,146959,6.56E+11,1.778029926,77.4,83.3,653,522
Austria,AUT,82444,High income: OECD,Europe and Central Asia,4059.843175,2004,8174762,72755,78151,2.94E+11,0.73543392,76,81.9,214,126
Azerbaijan,AZE,86100,Lower middle income,Europe and Central Asia,1558.798073,2004,7968351,137135,67094,8680410112,2.012377705,60.8,69.6,5181,3630
The Bahamas,BHS,10070,High income: nonOECD,Latin America and Caribbean,,2004,299697,5460,2643, ,0.650755194,62.2,69.1,87,53
Bahrain,BHR,665,High income: nonOECD,Middle East and North Africa,10469.11235,2004,677886,12568,2732,11012260864,,71.5,76.5,133,92
Bangladesh,BGD,133910,Low income,South Asia,163.6969911,2004,141340476,4244454,1204221,56676274176,1.137690936,61.8,61.6,146018,126985
Barbados,BRB,431,High income: nonOECD,Latin America and Caribbean,,2004,277816,3600,2450,2796698624,,70.4,74.4,25,19
Belarus,BLR,207600,Lower middle income,Europe and Central Asia,2725.439794,2004,9855951,88901,140053,23141586944,1.244738826,63.3,75.3,365,251
Belgium,BEL,30278,High income: OECD,Europe and Central Asia,5536.256815,2004,10348276,109588,105552,3.58E+11,1.239520631,75.3,81.8,301,221
Belize,BLZ,22806,Upper middle income,Latin America and Caribbean,,2004,274435,8206,1545,1055200000,,66.5,70.6,124,91
Benin,BEN,110620,Low income,Sub-Saharan Africa,302.6705448,2004,7438437,298802,94766,4047438080,,51.2,53.5,13265,11518
Bermuda,BMU,53,High income: nonOECD,North America,,2004,64935,768,490, ,,75.5,79.7,4,3
Bhutan,BTN,47000,Lower middle income,South Asia,,2004,2185569,75205,28850,708614848,,54.3,53.7,3969,3744
Bolivia,BOL,1084390,Lower middle income,Latin America and Caribbean,552.5557925,2004,8724156,215050,67787,8773152768,1.872527226,62.5,67.9,6403,5334
Bosnia and Herzegovina,BIH,51129,Lower middle income,Europe and Central Asia,1203.229382,2004,4345591,37980,32157,9306489856,1.755904409,74.8,82.3,207,141
Botswana,BWA,585370,Upper middle income,Sub-Saharan Africa,1054.803426,2004,1734949,41812,28523,9822485504,2.453672834,47,45.1,987,882
Brazil,BRA,8456510,Upper middle income,Latin America and Caribbean,1113.828357,2004,184101109,3175744,1130381,6.64E+11,1.417634742,67.5,75.6,56093,41275
Brunei,BRN,5270,High income: nonOECD,East Asia and Pacific,7369.690473,2004,354305,7040,1155,5484794880,,72.5,76.8,62,40
Bulgaria,BGR,110550,Upper middle income,Europe and Central Asia,2434.262948,2004,7517973,72548,107131,24647544832,2.35060963,68.1,75.6,940,606
Burkina Faso,BFA,273800,Low income,Sub-Saharan Africa,,2004,13092647,605666,212625,5138913792,1.336649433,46.6,49.5,31507,25680
Burma (Myanmar),MMR,657740,Low income,East Asia and Pacific,282.8574506,2004,46117911,851798,442732,5712228864,,59,63.6,27686,19759
Burundi,BDI,25650,Low income,Sub-Saharan Africa,,2004,7516212,320416,106204,664143168,0.006017581,49.1,50.4,11816,9210
Cambodia,KHM,176520,Low income,East Asia and Pacific,,2004,13300312,339025,113186,5263766016,1.782630309,58.1,62.2,12561,9469
Cameroon,CMR,469440,Lower middle income,Sub-Saharan Africa,433.290314,2004,16872750,619736,234362,15775356928,1.322008267,50.2,51.3,23891,19788
Canada,CAN,9093507,High income: OECD,North America,8410.641158,2004,32507874,354661,249335,9.77E+11,1.139443837,76.6,83.5,960,749
Cape Verde,CPV,4033,Lower middle income,Sub-Saharan Africa,,2004,415294,10852,2791,924639360,,66.8,73.5,299,234
Cayman Islands,CYM,262,High income: nonOECD,Latin America and Caribbean,,2004,43103,565,205, ,,77.2,82.5,3,2
Central African Republic,CAF,622984,Low income,Sub-Saharan Africa,,2004,4171859,144972,78932,1307438720,1.1244808,43.1,43.5,7126,5775
Chad,TCD,1259200,Low income,Sub-Saharan Africa,,2004,9097655,415126,160938,4414969344,0.837520952,45.7,47.8,24133,20356
Chile,CHL,748800,Upper middle income,Latin America and Caribbean,1732.344361,2004,15823957,249544,90355,95844237312,3.666722173,73.1,79.8,1252,1006
China,CHN,9326410,Lower middle income,East Asia and Pacific,1241.629999,2004,1298847624,16859042,8988026,1.93E+12,1.974242495,70.4,73.7,195358,230839
Colombia,COL,1038700,Lower middle income,Latin America and Caribbean,624.6313097,2004,42453588,899167,236891,98054242304,3.711013865,67.6,75.4,11869,8048
Comoros,COM,2170,Low income,Sub-Saharan Africa,,2004,652260,24786,5603,362420480,,59.3,63.9,1077,835
Congo (Dem. Rep.),ZAR,2267600,Low income,Sub-Saharan Africa,296.4752585,2004,59596804,2640138,660929,6569987072,2.109062981,53.9,58.2,102244,82671
Congo (Rep.),COG,341500,Lower middle income,Sub-Saharan Africa,273.7611407,2004,3502035,151813,47908,4342922752,,50.7,52.8,7335,6248
Costa Rica,CRI,50660,Upper middle income,Latin America and Caribbean,869.9665674,2004,3956507,75134,17092,18592778240,,74.1,79.3,431,340
Cote d'Ivoire,CIV,318000,Low income,Sub-Saharan Africa,387.5918027,2004,16944598,608142,254847,15474742272,,45.9,51,33746,22489
Croatia,HRV,56414,Upper middle income,Europe and Central Asia,1985.212195,2004,4496869,42765,50815,35619803136,1.577248181,70.2,78.3,154,144
Cuba,CUB,110860,Lower middle income,Latin America and Caribbean,950.290285,2004,11287846,137373,79692, ,,74.3,78.8,507,369
Cyprus,CYP,9240,High income: nonOECD,Europe and Central Asia,3534.739119,2004,775927,9823,5920,15418346496,,75.1,79.9,46,26
Czech Republic,CZE,77276,High income: OECD,Europe and Central Asia,4460.403983,2004,10246178,93240,107995,1.08E+11,1.777419484,72.5,79.2,208,162
Denmark,DNK,42394,High income: OECD,Europe and Central Asia,3716.412182,2004,5413392,62741,57003,2.45E+11,1.373307284,75.2,79.8,149,141
Djibouti,DJI,22980,Lower middle income,Middle East and North Africa,,2004,466900,18858,9067,666212800,,41.8,44.4,1081,909
Dominica,DMA,754,Upper middle income,Latin America and Caribbean,,2004,71933,1152,624,271094432,,71.8,77.7,12,6
Dominican Republic,DOM,48380,Lower middle income,Latin America and Caribbean,821.0510805,2004,8951229,213487,48605,18451857408,0.602979438,70.5,73.8,3650,3032
East Timor,TMP,14609,Low income,East Asia and Pacific,,2004,1019252,27989,6482,339000000,,63.3,67.9,794,574
Ecuador,ECU,276840,Lower middle income,Latin America and Caribbean,773.1604579,2004,13212742,306271,56286,32635711488,2.414431487,73.2,79,4596,2905
Egypt,EGY,995450,Lower middle income,Middle East and North Africa,783.0294511,2004,76166369,1815045,396827,78845181952,2.804085392,68.2,73.3,32476,27783
El Salvador,SLV,20720,Lower middle income,Latin America and Caribbean,663.5179999,2004,6593527,181124,38374,15821599744,0.624484501,67.3,74.7,2597,1947
Equatorial Guinea,GNQ,28051,Upper middle income,Sub-Saharan Africa,,2004,517927,18858,7748,4898939392,,48.1,51.9,949,808
Eritrea,ERI,121320,Low income,Sub-Saharan Africa,,2004,4554408,160361,46182,635024384,,56.5,59.5,4454,3327
Estonia,EST,43211,High income: nonOECD,Europe and Central Asia,3835.43787,2004,1341664,13135,17804,11651612672,1.484147549,65.8,77.3,63,43
Ethiopia,ETH,1119683,Low income,Sub-Saharan Africa,302.7265124,2004,71336571,2802101,1089309,9484748800,3.048844388,47.5,49.9,152513,119095
Faroe Islands,FRO,1399,High income: nonOECD,Europe and Central Asia,,2004,46662,648,405, ,,75.6,82.5,2,2
Fiji,FJI,18270,Lower middle income,East Asia and Pacific,,2004,880874,20181,5003,2581534976,,66.7,71.8,149,113
Finland,FIN,304473,High income: OECD,Europe and Central Asia,7285.76069,2004,5214512,55065,50529,1.86E+11,1.214911211,74.7,81.9,110,88
France,FRA,640053,High income: OECD,Europe and Central Asia,4546.659083,2004,62569230,800886,518699,2.06E+12,2.485462717,77.2,83.8,1561,1210
French Polynesia,PYF,3660,High income: nonOECD,East Asia and Pacific,,2004,266551,4619,1181, ,,73.3,78.2,22,16
Gabon,GAB,257667,Upper middle income,Sub-Saharan Africa,1242.722951,2004,1363116,49740,16126,7178135552,1.334529284,54,57.1,1661,1129
Gambia,GMB,10000,Low income,Sub-Saharan Africa,,2004,1548956,62516,19765,400832512,0.343702573,51.6,55.3,2577,2080
Georgia,GEO,69700,Lower middle income,Europe and Central Asia,625.9433141,2004,4693892,47408,42151,5125764096,3.14087863,72.3,79.4,549,368
Germany,DEU,349223,High income: OECD,Europe and Central Asia,4217.787406,2004,82424609,696488,860513,2.75E+12,1.354231499,75.6,81.7,1660,1265
Ghana,GHA,230940,Low income,Sub-Saharan Africa,385.6088417,2004,21572019,685343,217015,8871840768,0.746560785,57.3,58.8,21617,17770
Greece,GRC,130800,High income: OECD,Europe and Central Asia,2754.717834,2004,10647529,103600,107327,2.09E+11,4.483997785,76.4,81.6,330,253
Greenland,GRL,410449,High income: nonOECD,Europe and Central Asia,,2004,56384,900,434, ,,65.8,73,8,7
Grenada,GRD,344,Upper middle income,Latin America and Caribbean,,2004,89357,2020,653,437300000,,62.7,66.3,15,15
Guam,GUM,541,High income: nonOECD,East Asia and Pacific,,2004,166090,3207,722, ,,75.1,81.3,13,10
Guatemala,GTM,108430,Lower middle income,Latin America and Caribbean,615.6264188,2004,11939986,366199,66267,27399139328,0.414328041,67.1,70.5,6671,5381
Guinea,GIN,245857,Low income,Sub-Saharan Africa,,2004,9234177,390144,145531,4046719744,,48,50.5,19443,16762
Guinea-Bissau,GNB,28000,Low income,Sub-Saharan Africa,,2004,1386926,52717,23411,269885888,,44.5,48.4,3208,2549
Guyana,GUY,196850,Lower middle income,Latin America and Caribbean,,2004,763251,14204,6388,785918784,,62.5,67.8,277,208
Haiti,HTI,27560,Low income,Latin America and Caribbean,262.2832728,2004,8109050,293872,93660,3931674112,,53.3,56,10925,9261
Honduras,HND,111890,Lower middle income,Latin America and Caribbean,547.5058124,2004,7007482,208473,36649,7458858496,0.637029614,67.7,71,3257,2399
Hong Kong,HKG,1042,High income: nonOECD,East Asia and Pacific,2487.577369,2004,6855125,49563,40994,1.66E+11,,78.7,84.3,81,66
Hungary,HUN,92340,Upper middle income,Europe and Central Asia,2607.574071,2004,10032375,98016,132026,1.02E+11,1.312566908,68.1,76.7,472,379
Iceland,ISL,100250,High income: OECD,Europe and Central Asia,11975.50881,2004,293966,4066,1931,13060873216,0,78.2,82.3,7,6
India,IND,2973190,Low income,South Asia,530.5545572,2004,1075473222,25854376,7754162,6.96E+11,2.872983219,64.4,68.9,652467,443241
Indonesia,IDN,1826440,Lower middle income,East Asia and Pacific,799.8713242,2004,226004132,4714446,1582029,2.57E+11,0.921233921,65.7,69.3,101564,69853
Iran,IRN,1636000,Lower middle income,Middle East and North Africa,2166.451867,2004,64326188,1006062,355081,1.63E+11,4.464694043,68.3,71.1,21579,20535
Iraq,IRQ,432162,Lower middle income,Middle East and North Africa,1083.488176,2004,25374691,839649,143621, ,,67.1,69.5,25124,19134
Ireland,IRL,68890,High income: OECD,Europe and Central Asia,3737.541324,2004,3969558,57440,31399,1.84E+11,0.568766648,74.7,80.2,179,137
Isle of Man,IMY,572,High income: nonOECD,Europe and Central Asia,,2004,74655,842,847, ,,74.8,81.7,3,2
Israel,ISR,20330,High income: nonOECD,Middle East and North Africa,3048.871904,2004,6199008,114372,38372,1.17E+11,7.92497824,77.1,81.4,467,358
Italy,ITA,294020,High income: OECD,Europe and Central Asia,3170.761474,2004,58057477,525420,592767,1.72E+12,1.771540085,76.6,82.7,1812,1377
Jamaica,JAM,10831,Lower middle income,Latin America and Caribbean,1540.878123,2004,2712355,58804,17468,8886195200,0.714497526,71.7,75.2,522,456
Japan,JPN,374744,High income: OECD,East Asia and Pacific,4173.360049,2004,127480498,1130752,1023668,4.58E+12,0.974068909,78.7,85.6,1747,1419
Jordan,JOR,91971,Lower middle income,Middle East and North Africa,1232.325142,2004,5611202,127543,14701,11397869568,7.667088507,75.6,80.7,1422,888
Kazakhstan,KAZ,2669800,Upper middle income,Europe and Central Asia,3651.46636,2004,15143704,235030,145228,43151646720,1.064093351,60.7,71.7,4258,2920
Kenya,KEN,569250,Low income,Sub-Saharan Africa,505.5676836,2004,33967087,1369893,421192,16143341568,1.422740544,52.6,52.3,47699,37782
Kiribati,KIR,811,Lower middle income,East Asia and Pacific,,2004,100798,3124,856,65965584,,58.3,64.4,88,68
North Korea,PRK,120410,Low income,East Asia and Pacific,910.1681504,2004,22697553,380638,158656, ,,68.4,73.9,5188,4267
South Korea,KOR,98190,High income: OECD,East Asia and Pacific,4430.85308,2004,48426325,490074,271187,6.80E+11,2.569103821,73.2,80.4,1730,1406
Kuwait,KWT,17820,High income: nonOECD,Middle East and North Africa,10211.69119,2004,2257549,49327,5508,59267452928,5.740206947,75.9,77.9,283,223
Kyrgyz Republic,KGZ,191300,Low income,Europe and Central Asia,545.868463,2004,5081429,112452,36535,2211535360,,63.8,72,2435,1704
Laos,LAO,230800,Low income,East Asia and Pacific,,2004,6068117,221304,73424,2507193344,,52.7,56.8,10949,8318
Latvia,LVA,63589,Upper middle income,Europe and Central Asia,1988.074025,2004,2306306,20457,31666,13761569792,1.692554602,65.9,76.1,120,78
Lebanon,LBN,10230,Upper middle income,Middle East and North Africa,1361.197571,2004,3780677,72929,23478,21464313856,,69.9,74.9,1071,822
Lesotho,LSO,30355,Lower middle income,Sub-Saharan Africa,,2004,2113646,55082,48550,1318544896,2.345892373,39.9,39.2,2495,2160
Liberia,LBR,96320,Low income,Sub-Saharan Africa,,2004,2809109,129331,69357,460000000,,36.1,40.3,12125,9658
Libya,LBY,1759540,Upper middle income,Middle East and North Africa,3169.430475,2004,5631585,153010,19598,30498084864,,74.1,78.6,2200,1732
Liechtenstein,LIE,160,High income: nonOECD,Europe and Central Asia,,2004,33436,356,232, ,,75.8,83,1,1
Lithuania,LTU,65200,Upper middle income,Europe and Central Asia,2665.921866,2004,3607899,30631,39795,22511581184,1.797750379,68.2,79,135,83
Luxembourg,LUX,2586,High income: OECD,Europe and Central Asia,10480.99142,2004,462690,5649,3896,33592872960,0.931985169,75.3,82.1,15,13
Macau,MAC,28,High income: nonOECD,East Asia and Pacific,,2004,445286,3580,1884,9946880000,,79.2,85,9,7
Macedonia,MKD,24856,Lower middle income,Europe and Central Asia,1327.75767,2004,2040085,24440,17830,5368441856,2.204231884,71,76.1,133,121
Madagascar,MDG,581540,Low income,Sub-Saharan Africa,,2004,17768148,698111,161868,4363847680,,59.2,62.9,23612,19280
Malawi,MWI,94080,Low income,Sub-Saharan Africa,,2004,12677210,545754,253291,1902833280,,41.5,40.3,27918,25113
Malaysia,MYS,328550,Upper middle income,East Asia and Pacific,2279.018461,2004,23522482,549720,119494,1.18E+11,1.897871517,69.3,74.8,6042,4045
Maldives,MDV,300,Lower middle income,South Asia,,2004,339330,12236,2525,776460928,,62.4,65,360,354
Mali,MLI,1220000,Low income,Sub-Saharan Africa,,2004,11091009,558543,195645,4874185728,1.858214058,46.4,50,34272,27832
Malta,MLT,316,High income: nonOECD,Middle East and North Africa,2262.646399,2004,396851,4004,3147,5319674368,0.732759056,76.5,81,9,7
Marshall Islands,MHL,181,Lower middle income,East Asia and Pacific,,2004,57760,1956,283,135420000,,67.8,71.7,34,25
Mauritania,MRT,1030400,Low income,Sub-Saharan Africa,,2004,2998563,125310,38202,1547860992,0.973023031,50.1,54.6,4787,4279
Mauritius,MUS,2030,Upper middle income,Sub-Saharan Africa,,2004,1220481,19345,8324,6064345088,0.199426554,68.1,76.1,179,122
Mayotte,MYT,374,Upper middle income,Sub-Saharan Africa,,2004,186015,7850,1512, ,,58.9,63.2,282,225
Mexico,MEX,1923040,Upper middle income,Latin America and Caribbean,1621.512914,2004,104959594,2250334,496459,6.83E+11,0.390117136,72.2,77.8,27209,21601
Micronesia,FSM,702,Lower middle income,East Asia and Pacific,,2004,108155,2790,538,224400000,,67.7,71.3,49,38
Moldova,MDA,33371,Lower middle income,Europe and Central Asia,862.1282645,2004,4347420,44474,47430,2598231552,0.306221181,65.6,73.2,380,292
Monaco,MCO,2,High income: nonOECD,Europe and Central Asia,,2004,32270,302,411, ,,75.5,83.5,1,1
Mongolia,MNG,1564116,Low income,East Asia and Pacific,,2004,2824567,59005,18077,1641510400,,63.6,68.4,1526,1253
Montenegro,MNE,13812,Upper middle income,Europe and Central Asia,,2004,706577,7850,5709,1942773504,,73.5,79.5,49,41
Morocco,MAR,446300,Lower middle income,Middle East and North Africa,383.7972928,2004,32209101,734045,183914,50030751744,4.284340751,68.1,72.7,17664,14083
Mozambique,MOZ,784090,Low income,Sub-Saharan Africa,441.2600546,2004,19772838,789727,404948,5903942656,1.317419961,41.4,41.3,62039,29783
Namibia,NAM,825418,Lower middle income,Sub-Saharan Africa,665.4220901,2004,2014026,52888,35507, ,3.019146278,45.2,44.4,1461,1175
Nepal,NPL,143181,Low income,South Asia,340.5264965,2004,27070666,865178,261503,6731867648,1.969962486,59.7,59.1,29443,30055
Netherlands,NLD,33883,High income: OECD,Europe and Central Asia,5045.347545,2004,16318199,186191,141479,6.07E+11,1.585309276,76.2,81.3,542,409
Netherlands Antilles,ANT,960,High income: nonOECD,Latin America and Caribbean,9498.534859,2004,218244,3350,1377, ,,73.4,78,19,16
New Caledonia,NCL,18575,High income: nonOECD,East Asia and Pacific,,2004,213679,4056,1205, ,,70.8,76.9,18,14
New Zealand,NZL,268021,High income: OECD,East Asia and Pacific,4344.314768,2004,3993817,56073,30113,98467356672,1.006914923,75.5,81.6,195,139
Nicaragua,NIC,120254,Lower middle income,Latin America and Caribbean,643.392981,2004,5359759,136674,24333,4498480640,0.687667478,68,72.2,2366,1755
Niger,NER,1266700,Low income,Sub-Saharan Africa,,2004,11810183,607398,253092,2942412800,,43.3,43.2,38068,35445
Nigeria,NGA,910768,Low income,Sub-Saharan Africa,717.3059493,2004,125744458,5139176,2186696,72271388672,0.878368411,46,47,278436,237434
Northern Mariana Islands,MNP,477,Upper middle income,East Asia and Pacific,,2004,78252,1547,180, ,,73.1,78.4,6,5
Norway,NOR,307442,High income: OECD,Europe and Central Asia,6023.802524,2004,4574560,54392,43504,2.55E+11,1.646461036,76.6,82,115,88
Oman,OMN,212460,Upper middle income,Middle East and North Africa,4667.218924,2004,2903165,107765,11351,24283987968,,70.7,75.2,1281,902
Pakistan,PAK,778720,Low income,South Asia,489.0857705,2004,155848540,4594415,1340297,97994784768,3.341719415,61.7,63.5,176595,166883
Palau,PLW,458,Upper middle income,East Asia and Pacific,,2004,20016,374,138,133560000,,66.7,73.2,4,2
Panama,PAN,75990,Upper middle income,Latin America and Caribbean,801.1705152,2004,3089531,67692,16066,14179300352,,72.7,78,643,517
Papua New Guinea,PNG,452860,Low income,East Asia and Pacific,,2004,5420280,165427,40652,3926144256,0.533933118,62.4,66.8,4855,3937
Paraguay,PRY,397300,Lower middle income,Latin America and Caribbean,694.3571531,2004,6195181,184369,28993,6949760512,0.753255582,72.1,77.3,3203,2210
Peru,PER,1280000,Lower middle income,Latin America and Caribbean,478.8408959,2004,27544305,585867,173254,69686083584,1.249968989,67.5,71,10629,8675
Philippines,PHL,298170,Lower middle income,East Asia and Pacific,542.3868432,2004,86241697,2225036,476917,86703128576,0.815543553,66.7,72.6,30931,23004
Poland,POL,304465,Upper middle income,Europe and Central Asia,2402.742639,2004,38580445,368443,372687,2.53E+11,1.788377144,70.7,78.9,1533,1193
Portugal,PRT,91951,High income: OECD,Europe and Central Asia,2528.003209,2004,10524145,114713,109135,1.78E+11,2.146607082,74.1,80.8,331,257
Puerto Rico,PRI,8870,High income: nonOECD,Latin America and Caribbean,,2004,3895107,51221,29057, ,,74.2,82.3,238,180
Qatar,QAT,11437,High income: nonOECD,Middle East and North Africa,23246.44501,2004,840290,13109,3798,31734065152,,70.9,76,153,100
Romania,ROM,230340,Upper middle income,Europe and Central Asia,1778.427781,2004,22355551,238981,261336,75489443840,2.107639009,67.6,74.8,3742,2768
Russia,RUS,16995800,Upper middle income,Europe and Central Asia,4459.742085,2004,143507430,1501088,2293249,5.92E+11,3.740991038,58.9,72.5,10282,7326
Rwanda,RWA,24948,Low income,Sub-Saharan Africa,,2004,9127896,368950,149059,1825738112,2.171725518,45.7,47.5,18058,15546
Samoa,WSM,2934,Lower middle income,East Asia and Pacific,,2004,206385,5839,1236,357691232,,67.7,73.3,101,66
San Marino,SMR,61,High income: nonOECD,Europe and Central Asia,,2004,28503,294,227, ,,78,85.3,1,1
Sao Tome and Principe,STP,1001,Low income,Sub-Saharan Africa,,2004,181565,7510,1251,107135816,,65.1,68.2,178,157
Saudi Arabia,SAU,2149690,High income: nonOECD,Middle East and North Africa,6232.450109,2004,25795938,767171,68617,2.50E+11,8.197012629,73.3,77.3,6178,4332
Senegal,SEN,192000,Low income,Sub-Saharan Africa,241.6143528,2004,11534252,452373,133451,7626898432,1.506590207,54.3,56.9,15619,13319
Serbia,SRB,88361,Upper middle income,Europe and Central Asia,,2004,10119145,123352,108275,24437649408,,71.8,77,980,693
Seychelles,SYC,455,Upper middle income,Sub-Saharan Africa,,2004,80832,1338,518,24352823296,1.736285802,66.1,77.1,13,8
Sierra Leone,SLE,71620,Low income,Sub-Saharan Africa,,2004,5732171,266374,135852,1071457728,1.116185961,37.5,41.8,24466,19158
Singapore,SGP,683,High income: nonOECD,East Asia and Pacific,6034.007028,2004,4353893,41928,17633,1.07E+11,4.68474885,79,84.3,55,41
Slovakia,SVK,48800,Upper middle income,Europe and Central Asia,3406.627418,2004,5423567,57327,51415,42017112064,1.736758967,70.2,78.4,261,176
Slovenia,SVN,20151,High income: nonOECD,Europe and Central Asia,3590.886492,2004,2011473,17902,20416,32600887296,1.665939881,72.2,79.9,48,33
Solomon Islands,SLB,27540,Low income,East Asia and Pacific,,2004,523617,16546,2115,265299664,,69.9,75,214,152
Somalia,SOM,627337,Low income,Sub-Saharan Africa,,2004,8304601,382344,143670, ,,46,49.5,24876,20439
South Africa,ZAF,1219912,Upper middle income,Sub-Saharan Africa,2828.641912,2004,44448470,848521,906749,2.16E+11,1.409596374,43.9,44.3,28950,24371
Spain,ESP,499542,High income: OECD,Europe and Central Asia,3330.932395,2004,40280780,407239,384681,1.04E+12,1.031711007,76,82.9,1025,799
Sri Lanka,LKA,64740,Lower middle income,South Asia,484.9964032,2004,20303267,365053,153087,20054202368,2.654091428,69.2,69.7,4339,3882
St. Kitts and Nevis,KNA,261,Upper middle income,Latin America and Caribbean,,2004,38836,709,336,404525920,,69,74.9,7,4
St. Lucia,LCA,606,Upper middle income,Latin America and Caribbean,,2004,164213,3366,851,764685184,,69.8,77.2,26,21
St. Vincent and the Grenadines,VCT,389,Upper middle income,Latin America and Caribbean,,2004,117193,1965,708,408518496,,71.5,75.2,17,13
Sudan,SDN,2376000,Low income,Sub-Saharan Africa,496.5235469,2004,37096866,1346245,568324,21689901056,,47.1,48.8,66487,63856
Suriname,SUR,161470,Lower middle income,Latin America and Caribbean,,2004,455317,8537,2518,1148000128,,69.8,75.3,116,74
Swaziland,SWZ,17203,Lower middle income,Sub-Saharan Africa,,2004,1138171,32597,31379,2382383872,,33.1,35.2,1285,1124
Sweden,SWE,410934,High income: OECD,Europe and Central Asia,5998.335853,2004,8986400,93998,93279,3.50E+11,1.556828724,78.1,82.6,142,118
Switzerland,CHE,39770,High income: OECD,Europe and Central Asia,3671.791364,2004,7450867,73242,62885,3.59E+11,0.964936213,77.5,83.3,186,138
Syria,SYR,184050,Lower middle income,Middle East and North Africa,992.511524,2004,18016874,521228,89364,24306706432,,68.5,71,8257,7693
Tajikistan,TJK,142700,Low income,Europe and Central Asia,515.6650061,2004,6688433,184066,49494,2075801088,,60.5,66.6,5024,3785
Tanzania,TZA,886037,Low income,Sub-Saharan Africa,499.8666418,2004,36989970,1417826,554850,11351427072,1.030188988,47.1,49,59684,47816
Thailand,THA,511770,Lower middle income,East Asia and Pacific,1524.029212,2004,63731437,899251,441022,1.61E+11,1.145243954,69.3,74.1,10209,8522
Togo,TGO,54385,Low income,Sub-Saharan Africa,448.8693102,2004,5255320,196129,53394,2061009536,1.575856347,54.6,58.7,7123,5380
Tonga,TON,718,Lower middle income,East Asia and Pacific,,2004,110237,2742,601,188649824,,66.7,71.8,21,15
Trinidad and Tobago,TTO,5128,High income: nonOECD,Latin America and Caribbean,8675.124317,2004,1084206,13726,11005,12207065088,,65.5,68,199,165
